id	title	author	witty	rarity	hidden
mp_fuselage_15_kerosene		Hoboy			false
mp_fuselage_15_kerosene_camo	Camo			COMMON	false
mp_fuselage_15_kerosene_desert	Desert Camo			COMMON	false
mp_fuselage_15_kerosene_sky	Sky Camo			COMMON	false
mp_fuselage_15_kerosene_insulation	Orange Insulation		Rest in spaghetti Columbia :(	COMMON	false
mp_fuselage_15_kerosene_metal	Bolted Metal	Hoboy	Metal frame with metal plating reinforced with bolted metal sheets and metal.	UNCOMMON	false
mp_fuselage_15_kerosene_decorated	Decorated	Hoboy		UNCOMMON	false
mp_fuselage_15_kerosene_steampunk	Steampunk	Hoboy		RARE	false
mp_fuselage_15_kerosene_polite	Polite	Hoboy		LEGENDARY	false
mp_fuselage_15_kerosene_blackjack	Queen Whiskey			LEGENDARY	false
mp_fuselage_15_kerosene_lambda	Lambda Complex	VT-6/24	MAGNIFICENT MICROWAVE CASSEROLE	RARE	false
mp_fuselage_15_kerosene_minuteman	MX 1702	Spexta		UNCOMMON	false
mp_fuselage_15_kerosene_pip	LittlePip	The Doctor	31!	EPIC	true
mp_fuselage_15_kerosene_taint	Tainted	Sam	DUN-DUN!	UNCOMMON	false
mp_fuselage_15_kerosene_yuck	Flesh	Hoboy	Note: Never clean DNA vials with your own spit.	EPIC	false
mp_fuselage_15_solid					false
mp_fuselage_15_solid_insulation	Orange Insulation			COMMON	false
mp_fuselage_15_solid_desh	Desh Plating	Hoboy		RARE	false
mp_fuselage_15_solid_soviet_glory	Soviet Glory	Hoboy		RARE	false
mp_fuselage_15_solid_soviet_stank	Soviet Stank	Hoboy	Aged like a fine wine! Well, almost.	EPIC	false
mp_fuselage_15_solid_faust	Mighty Lauren	Dr.Nostalgia	Welcome to Subway, may I take your order?	LEGENDARY	false
mp_fuselage_15_solid_silvermoonlight	Silver Moonlight	The Master		UNCOMMON	false
mp_fuselage_15_solid_snowy	Chilly Day	Dr.Nostalgia		UNCOMMON	false
mp_fuselage_15_solid_panorama	Panorama	Hoboy		RARE	false
mp_fuselage_15_solid_roses	Bed of roses	Hoboy		UNCOMMON	false
mp_fuselage_15_solid_mimi	Mimi-chan			RARE	false
mp_fuselage_15_hydrogen					false
mp_fuselage_15_hydrogen_cathedral	Unholy Cathedral	Satan		UNCOMMON	false
mp_fuselage_15_balefire					false
mp_fuselage_15_20_kerosene		Hoboy			false
mp_fuselage_15_20_kerosene_magnusson	White Forest Rocket	VT-6/24	And get your cranio-conjugal parasite away from my nose cone!	RARE	false
mp_fuselage_15_20_solid					false
mp_warhead_10_he					false
mp_warhead_10_incendiary					false
mp_warhead_10_buster					false
mp_warhead_10_nuclear	Tater Tot				false
mp_warhead_10_nuclear_large	Chernobyl Boris				false
mp_warhead_10_taint			Eat my taint! Bureaucracy is dead and we killed it!	UNCOMMON	false
mp_warhead_10_cloud				RARE	false
mp_warhead_15_he					false
mp_warhead_15_incendiary					false
mp_warhead_15_nuclear	Auntie Bertha				false
mp_warhead_15_nuclear_shark	Discount Bullet Bill		Nose art on a cannon bullet? Who does that?	UNCOMMON	false
mp_warhead_15_nuclear_mimi	FASHIONABLE MISSILE			RARE	false
mp_warhead_15_boxcar			?!?!	LEGENDARY	false
mp_warhead_15_n2			[screams geometrically]	RARE	false
mp_warhead_15_balefire		VT-6/24	Hightower, never forgetti.	LEGENDARY	false
mp_warhead_15_turbine				SEWS_CLOTHES_AND_SUCKS_HORSE_COCK	false
mp_c_1					false
mp_c_2					false
mp_c_3					false
mp_c_4					false
mp_c_5					false
